S.No.,MTE (25),Mini Project (25),Total (50),ETE (50),Total
1,5,20,25,12,37
2,11.05,20,31.05,26,57.05
3,8.1,20,28.1,14,42.1
4,6,10,16,13,29
5,11.35,20,31.35,17,48.35
6,11,20,31,24,55
7,10.5,15,25.5,18,43.5
8,9,15,24,14,38
9,4,15,19,19,38
14,8.5,10,18.5,13,31.5
10,12.5,15,27.5,18,45.5
11,16.55,15,31.55,11,42.55
12,8.2,22,30.2,21,51.2
13,11,22,33,18.25,51.25
16,9.5,10,19.5,22,41.5
17,12.75,22,34.75,29,63.75
18,6,10,16,12,28
19,1.7,10,11.7,14,25.7
20,5.05,10,15.05,11,26.05
21,3.7,10,13.7,19,32.7
22,9.7,10,19.7,23,42.7
15,19.1,22,41.1,33,74.1
23,17,22,39,22,61
24,12.8,10,22.8,35,57.8
26,22.5,22,44.5,50,94.5
27,23.5,22,45.5,47,92.5
44,19,22,41,30,71
28,13.05,22,35.05,24,59.05
29,14.8,22,36.8,27,63.8
45,12,12,24,20,44
30,17.65,22,39.65,30,69.65
31,12.35,22,34.35,19,53.35
46,11,22,33,39,72
47,16.35,12,28.35,27,55.35
32,12.25,22,34.25,18,52.25
33,13.1,22,35.1,25,60.1
34,16,22,38,32,70
35,9.7,22,31.7,8,39.7
36,15.4,22,37.4,22,59.4
37,10.7,22,32.7,21,53.7
38,11.5,22,33.5,14,47.5
48,9.5,22,31.5,24,55.5
39,9,22,31,17,48
40,3,22,25,20,45
41,13.65,15,28.65,20,48.65
25,12.7,22,34.7,38,72.7
42,12.45,22,34.45,30,64.45
43,16.8,22,38.8,31,69.8
49,0.7,15,15.7,18,33.7
50,13.1,15,28.1,22,50.1
51,8.65,15,23.65,22,45.65
52,16.5,15,31.5,23,54.5
53,12.9,22,34.9,20,54.9
54,9.5,15,24.5,19,43.5
55,3.5,15,18.5,17,35.5
56,7.7,15,22.7,17,39.7
57,5.55,15,20.55,16,36.55
58,7.3,15,22.3,22,44.3
59,10.15,10,20.15,22,42.15
60,14.35,15,29.35,19,48.35
61,4.5,15,19.5,18,37.5
62,14,15,29,20,49
63,4.7,15,19.7,23,42.7
64,8,15,23,12,35
65,10.3,15,25.3,17,42.3
66,5.85,10,15.85,24,39.85
67,7,22,29,12,41
68,7,10,17,16,33
69,9.5,10,19.5,11,30.5
70,8,10,18,23,41
71,15.4,22,37.4,18,55.4
72,1.2,10,11.2,9,20.2
73,4.9,15,19.9,20,39.9
74,1,16,17,7,24
75,12.05,10,22.05,20,42.05
76,12.25,10,22.25,28,50.25
77,1.75,10,11.75,,0
78,3,10,13,,0
79,5.8,10,15.8,12,27.8
,,,,,
,,,,,
